FICE_CODE,UNIVERSITY_NAME
000367,ST. JOSEPH’S UNIVERSITY
001002,ALABAMA A & M
001003,FAULKNER UNIVERSITY
001004,UNIVERSITY OF MONTEVALLO
001005,ALABAMA STATE UNIVERSITY
001007,CENTRAL ALABAMA COMM COLL
001008,ATHENS STATE UNIVERSITY
001009,AUBURN UNIVERSITY MAIN
001012,BIRMINGHAM SOUTHERN COLL
001013,CALHOUN COMMUNITY COLLEGE
001015,ENTERPRISE STATE JR COLL
001016,UNIVERSITY NORTH ALABAMA
001017,GADSDEN STATE COMM COLL
001018,GEORGE C WALLACE STATE COMMUNITY COLLEGE-DOTHAN
001019,HUNTINGDON COLLEGE
001020,JACKSONVILLE STATE UNIV
001021,JEFFERSON DAVIS COMM COLL
001022,JEFFERSON STATE COMM COLL
001023,JUDSON COLLEGE
001024,THE UNIV WEST ALABAMA
001026,MARION MILITARY INSTITUTE
001028,MILES COLLEGE
001029,UNIVERSITY OF MOBILE
001030,BISHOP STATE COMM COLLEGE
001031,NORTHEAST ALABAMA COMM CO
001032,NORTHWEST ALABAMA COMMUNITY COLLEGE
001033,OAKWOOD COLLEGE
001034,PATRICK HENRY STATE JUNIOR COLLEGE
001036,SAMFORD UNIVERSITY
001037,SELMA UNIVERSITY
001038,SNEAD STATE COMM COLLEGE
001039,SOUTHEASTERN BIBLE COLLEGE
001040,SOUTHERN UNION STATE CC
001041,SPRING HILL COLLEGE
001044,STILLMAN COLLEGE
001046,TALLADEGA COLLEGE
001047,TROY STATE UNIV MAIN
001048,TROY STATE UNIV DOTHAT
001049,TROY ST UNIV MONTGOMERY
001050,TUSKEGEE UNIVERSITY
001051,THE UNIVERSITY OF ALABAMA
001052,UNIV AL-BIRMINGHAM
001055,UNIV OF AL IN HUNTSVILLE
001057,UNIVERSITY SOUTH ALABAMA
001058,UAB WALKER COLLEGE
001059,LAWSON STATE COMM COLLEGE
001060,FAULKNER STATE JUNIOR COLLEGE
001061,ALASKA PACIFIC UNIVERSITY
001062,SHELDON JACKSON COLLEGE
001063,U OF ALASKA FAIRBANKS
001065,UNIV OF ALASKA SOUTHEAST
001070,"THUNDERBIRD,AM GRAD SC"
001071,ARIZONA WESTERN COLLEGE
001072,COCHISE COLLEGE
001073,EASTERN ARIZONA COLLEGE
001074,GRAND CANYON UNIVERSITY
001076,GLENDALE COMMUNITY COLL
001077,MESA COMMUNITY COLLEGE
001078,PHOENIX COLLEGE
001079,YAVAPAI COLLEGE
001081,ARIZONA STATE UNIV MAIN
001082,NORTHERN ARIZONA UNIV
001083,UNIVERSITY OF ARIZONA
001085,U OF AR-MONTICELLO
001086,U OF AR-PINE BLUFF
001087,ARKANSAS BAPTIST COLLEGE
001088,LYON COLLEGE
001089,ARKANSAS TECH UNIVERSITY
001090,ARKANSAS STATE UNIV MAIN
001091,ARKANSAS STATE UNIVERSITY BEEBE BRANCH
001092,U OF CENTRAL ARKANSAS
001093,CENTRAL BAPTIST COLLEGE
001094,UNIVERSITY OF THE OZARKS
001095,CROWLEY'S RIDGE COLLEGE
001097,HARDING UNIVERSITY MAIN
001098,HENDERSON STATE UNIV
001099,HENDRIX COLLEGE
001100,JOHN BROWN UNIVERSITY
001101,U OF ARKANSAS LITTLE ROCK
001102,OUACHITA BAPTIST UNIV
001103,PHILANDER SMITH COLLEGE
001104,PHILLIPS COUNTY COMMUNITY COLLEGE
001105,SHORTER COLLEGE
001106,WILLIAMS BAPTIST COLLEGE
001107,SOUTHERN ARKANSAS UNIV
001108,U OF AR-FAYETTEVILLE-MAIN
001109,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES
001110,UNIVERSITY AR-FORT SMITH
001111,ALLAN HANCOCK COLLEGE
001113,ANTELOPE VALLEY COLLEGE
001115,ARMSTRONG UNIVERSITY
001116,ART CENTER COLLEGE OF DESIGN
001117,AZUSA PACIFIC UNIVERSITY
001118,BAKERSFIELD COLLEGE
001119,BARSTOW CC DISTRICT
001120,AMERICAN BAPTIST SEMINARY OF THE WEST
001121,BETHANY COLLEGE
001122,BIOLA U
001123,BROOKS INSTITUTE OF PHOTOGRAPHY
001124,CABRILLO COLLEGE
001125,CAL BAPTIST UNIVERSITY
001127,CALIFORNIA COLLEGE OF ARTS AND CRAFTS
001131,CALIFORNIA INSTITUTE OF TECHNOLOGY
001132,CALIFORNIA INSTITUTE OF ARTS
001133,CAL LUTHERAN UNIVERSITY
001134,CALIFORNIA MARITIME
001135,CALIFORNIA COLLEGE OF PODIATRIC MEDICINE
001137,CAL ST U-FULLERTON
001138,CAL ST U-HAYWARD
001139,CAL ST U-LONG BEACH
001140,CAL ST U-LOS ANGELES
001141,CAL ST-DOMINGUEZ HILLS
001142,CAL STATE SAN BERNARDINO
001143,CAL ST-SAN LUIS
001144,CAL ST U-POMONA
001146,CAL ST U-CHICO
001147,CAL ST U-FRESNO
001149,HUMBOLDT STATE UNIVERSITY
001150,CAL ST U-SACRAMENTO
001151,SAN DIEGO STATE UNIV
001153,CAL ST U-NORTHRIDGE
001154,SAN FRANCISCO STATE UNIV
001155,SAN JOSE STATE UNIVERSITY
001156,SONOMA STATE UNIV
001157,CAL ST UNIV-STANISLAUS
001158,ALLIANT INTL U-SAN DIEGO
001161,CERRITOS COLLEGE
001162,CHABOT COLLEGE
001163,CHAFFEY COLLEGE
001164,CHAPMAN UNIVERSITY
001165,CHURCH DIVINITY SCHOOL OF THE PACIFIC
001166,CITRUS COLLEGE
001167,CITY COLLEGE OF SAN FRANCISCO
001169,CLAREMONT GRAD UNIVERSITY
001170,CLAREMONT MCKENNA COLLEGE
001171,HARVEY MUDD COLLEGE
001172,PITZER COLLEGE
001173,POMONA COLLEGE
001174,SCRIPPS COLLEGE
001176,WEST HILLS COMM COLL
001177,COGSWELL POLYTECHNICAL COLLEGE
001178,COLLEGE OF MARIN
001179,NOTRE DAME DE NAMUR UNIV
001181,COLLEGE OF SAN MATEO
001182,COLLEGE OF THE DESERT
001183,HOLY NAMES COLLEGE
001185,COLLEGE OF THE REDWOODS
001186,COLLEGE OF SEQUOIAS
001187,COLLEGE OF THE SISKIYOUS
001188,COMPTON COMMUNITY COLLEGE
001190,CONTRA COSTA COLLEGE
001191,DIABLO VALLEY COLLEGE
001192,CUESTA COLLEGE
001193,CYPRESS COLLEGE
001194,DEEP SPRINGS COLLEGE
001196,DOMINICAN COLLEGE OF SAN RAFAEL
001197,EL CAMINO COLLEGE
001199,FOOTHILL COLLEGE
001200,FULLER THEOLOGICAL SEMINARY
001201,FULLERTON COLLEGE
001202,GAVILAN COLLEGE
001203,GLENDALE CC
001204,GOLDEN GATE BAPTIST SEMINARY
001205,GOLDEN GATE UNIVERSITY
001206,GOLDEN WEST COLLEGE
001207,GRADUATE THEOLOGICAL UNION
001208,GROSSMONT COLLEGE
001209,HARTNELL COLLEGE
001210,HEALD INSTITUTE OF TECHNOLOGY-SAN FRANCISCO
001211,HEALD INSTITUTE OF TECHNOLOGY-SAN JOSE
001212,HUMPHREYS COLLEGE
001214,IMPERIAL VALLEY COLLEGE
001215,LA SIERRA UNIVERSITY
001216,UNIVERSITY OF LA VERNE
001217,LASSEN COLLEGE
001218,LOMA LINDA UNIVERSITY
001219,LONG BEACH CITY COLLEGE
001220,MASTER’S COLL & SEMINARY
001221,LOS ANGELES COMM COLLEGE
001223,LOS ANGELES CITY COLLEGE
001224,L.A. HARBOR COLLEGE
001226,LA PIERCE COLLEGE
001227,LOS ANGELES TRAINING TECHNICAL COLLEGE
001228,LOS ANGELES VALLEY COLLEG
001230,SOUTHERN CALIFORNIA COLLEGE OF OPTOMETRY
001231,LOS RIOS CC DISTRICT
001232,AMERICAN RIVER COLLEGE
001233,SACRAMENTO CITY COLL
001236,MENLO COLLEGE
001237,MERCED COLLEGE
001238,MILLS COLLEGE
001239,MIRA COSTA COLLEGE
001240,MODESTO JUNIOR COLLEGE
001241,MONTEREY INST INTL STUD
001242,MONTEREY PENINSULA COLL
001243,MT SAINT MARY’S COLLEGE
001245,MT SAN ANTONIO COLLEGE
001246,MT. SAN JACINTO COLLEGE
001247,NAPA VALLEY COLLEGE
001248,NORTHROP
001249,OCCIDENTAL COLLEGE
001250,ORANGE COAST COLLEGE
001251,OTIS ART INSTITUTE OF PARSONS SCHOOL OF DESIGN
001252,PACIFIC CHRISTIAN COLLEGE
001253,FRESNO PACIFIC UNIVERSITY
001254,PACIFIC LUTHERAN THEOLOGICAL SEMINARY
001255,PACIFIC OAKS COLLEGE
001256,PACIFIC SCHOOL OF RELIGION
001258,PACIFIC UNION COLLEGE
001259,PALO VERDE COLLEGE
001260,PALOMAR COLLEGE
001261,PASADENA CITY COLLEGE
001262,POINT LOMA NAZARENE UNIV
001264,PEPPERDINE
001265,PERALTA CC DIST OFFICE
001266,LANEY COLLEGE
001267,MERRITT COLLEGE
001268,PORTERVILLE COLLEGE
001269,RIO HONDO COLLEGE
001270,RIVERSIDE COMM COLLEGE
001272,SAN BERNARDINO VALLEY COL
001273,SAN DIEGO CITY COLLEGE
001275,SAN DIEGO MESA COLLEGE
001277,SAN FRANCISCO COLLEGE OF MORTUARY SCIENCE
001278,SAN FRANCISCO CONSERVATORY OF MUSIC
001279,SAN FRANCISCO THEOLOGICAL SEMINARY
001280,SAN JOAQUIN DELTA COLLEGE
001281,SAN JOSE CHRISTIAN COLLEGE
001282,SAN JOSE CITY COLLEGE
001284,SANTA ANA COLLEGE
001285,SANTA BARBARA CITY COLL
001286,SANTA MONICA COLLEGE
001287,SANTA ROSA JUNIOR COLLEGE
001288,SCHOOL OF THEOLOGY AT CLAREMONT
